date,event,venue,city,state,auidance,winner_team,winning_pts,winner_1,winner_2,winner_coach,loser_team,losing_pts,loser_1,loser_2,loser_coach,pts_combined,pts_difference
01-01-2019,53,V13,c4,s9,65314,tw12,43,wp1_31,,wc_2,tl_19,29,lp1_23,,lc_20,72,14
04-02-2018,52,v30,c12,s8,67613,tw16,42,wp1_24,,wc_11,tl_16,33,lp1_37,,lc_2,75,9
05-02-2017,51,v15,c6,s10,70808,tw11,35,wp1_31,,wc_2,tl_2,28,lp1_27,,lc_8,63,7
07-02-2016,50,v8,c18,s2,71089,tw5,25,wp1_25,,wc_12,tl_5,10,lp1_6,,lc_32,35,15
01-02-2015,49,v31,c5,s1,70289,tw11,29,wp1_31,,wc_2,tl_23,24,lp1_34,,lc_28,53,5
02-02-2014,48,v13,c4,s9,82530,tw19,44,wp1_28,,wc_25,tl_9,8,lp1_29,,lc_20,52,36
03-02-2013,47,v12,c13,s6,71025,tw2,35,wp1_14,,wc_17,tl_22,31,lp1_8,,lc_18,66,4
05-02-2012,46,v10,c7,s5,68659,tw13,22,wp1_10,,wc_27,tl_16,17,lp1_37,,lc_2,39,5
06-02-2011,45,v2,c1,s10,103220,tw6,32,wp1_1,,wc_22,tl_20,25,lp1_1,,lc_27,57,7
07-02-2010,44,v26,c11,s3,74060,tw12,32,wp1_8,,wc_26,tl_11,17,lp1_29,,lc_16,49,15
01-02-2009,43,v20,c19,s3,70775,tw17,28,wp1_3,,wc_24,tl_1,23,lp1_24,,lc_22,51,5
03-02-2008,42,v31,c5,s1,71102,tw13,18,wp1_10,,wc_27,tl_16,14,lp1_37,,lc_2,32,4
04-02-2007,41,v3,c11,s3,74513,tw7,30,wp1_25,,wc_30,tl_6,17,lp1_30,,lc_23,47,13
05-02-2006,40,v4,c3,s7,68207,tw17,22,wp1_3,,wc_3,tl_23,10,lp1_26,,lc_25,32,12
06-02-2005,39,v1,c8,s3,78126,tw11,25,wp1_31,,wc_2,tl_19,21,lp1_13,,lc_1,46,4
01-02-2004,38,v21,c6,s10,71526,tw11,33,wp1_31,,wc_2,tl_5,29,lp1_17,,lc_20,62,4
26-01-2003,37,v19,c17,s2,67604,tw21,49,wp1_5,,wc_19,tl_18,21,lp1_31,,lc_3,70,28
03-02-2002,36,v9,c13,s6,72923,tw11,21,wp1_31,,wc_2,tl_24,17,lp1_24,,lc_26,38,4
28-01-2001,35,v20,c19,s3,71922,tw2,35,wp1_32,,wc_6,tl_17,7,lp1_23,,lc_17,42,28
30-01-2000,34,v5,c2,s4,72626,tw20,24,wp1_21,,wc_8,tl_25,16,lp1_36,,lc_15,40,8
31-01-1999,33,v18,c11,s3,74804,tw5,35,wp1_19,,wc_23,tl_2,19,lp1_7,,lc_9,54,16
25-01-1998,32,v19,c17,s2,68913,tw5,32,wp1_19,,wc_23,tl_10,24,lp1_5,,lc_25,56,8
26-01-1997,31,v9,c13,s6,72302,tw6,36,wp1_6,,wc_21,tl_16,21,lp1_14,,lc_5,57,15
28-01-1996,30,v25,c20,s1,76348,tw4,28,wp1_33,,wc_1,tl_20,17,lp1_28,,lc_4,45,11
29-01-1995,29,v7,c11,s3,74108,tw18,50,wp1_29,,wc_13,tl_21,26,lp1_35,,lc_6,76,24
30-01-1994,28,v5,c2,s4,72818,tw4,31,wp1_33,,wc_15,tl_4,13,lp1_18,,lc_24,44,18
31-01-1993,27,v23,c15,s2,98375,tw4,53,wp1_33,,wc_15,tl_4,17,lp1_18,lp2_1,lc_24,70,36
26-01-1992,26,v14,c12,s8,63131,tw22,38,wp1_23,,wc_16,tl_4,24,lp1_18,,lc_24,62,14
27-01-1991,25,v28,c19,s3,73814,tw13,21,wp1_11,,wc_4,tl_4,19,lp1_18,,lc_24,40,2
28-01-1990,24,v9,c13,s6,72920,tw18,56,wp1_15,,wc_13,tl_9,10,lp1_21,,lc_9,66,46
22-01-1989,23,v7,c11,s3,75130,tw18,21,wp1_15,,wc_5,tl_7,16,lp1_4,,lc_33,37,5
31-01-1988,22,v6,c17,s2,73303,tw22,43,wp1_7,,wc_16,tl_9,10,lp1_21,,lc_9,53,33
25-01-1987,21,v23,c15,s2,101064,tw13,40,wp1_26,,wc_4,tl_9,20,lp1_21,,lc_9,60,20
26-01-1986,20,v9,c13,s6,73819,tw3,47,wp1_12,,wc_20,tl_16,10,lp1_38,lp2_2,lc_30,57,37
20-01-1985,19,v24,c14,s2,84060,tw18,39,wp1_16,,wc_5,tl_14,16,lp1_10,,lc_11,55,23
22-01-1984,18,v28,c19,s3,72921,tw9,39,wp1_13,,wc_28,tl_26,9,lp1_20,,lc_19,48,30
30-01-1983,17,v23,c15,s2,103668,tw22,28,wp1_18,,wc_16,tl_14,17,lp1_12,,lc_11,45,11
24-01-1982,16,v17,c16,s7,81271,tw18,27,wp1_15,,wc_5,tl_7,21,lp1_22,,lc_12,48,6
25-01-1981,15,v9,c13,s6,76136,tw15,28,wp1_13,,wc_28,tl_19,10,lp1_33,,lc_10,38,18
20-01-1980,14,v23,c15,s2,103986,tw17,32,wp1_30,,wc_7,tl_13,19,lp1_39,,lc_29,51,13
21-01-1979,13,v16,c10,s3,79485,tw17,36,wp1_30,,wc_7,tl_8,31,lp1_32,,lc_34,67,5
15-01-1978,12,v27,c13,s6,76401,tw4,28,wp1_27,,wc_29,tl_9,10,lp1_9,,lc_31,38,18
09-01-1977,11,v23,c15,s2,103439,tw15,33,wp1_20,,wc_18,tl_15,14,lp1_16,,lc_7,47,19
18-01-1976,10,v16,c10,s3,80188,tw17,22,wp1_30,,wc_7,tl_8,17,lp1_32,,lc_34,39,5
12-01-1975,9,v29,c13,s6,80998,tw17,17,wp1_30,,wc_7,tl_15,6,lp1_16,,lc_7,23,11
13-01-1974,8,v22,c6,s10,71883,tw10,25,wp1_4,,wc_10,tl_15,7,lp1_16,,lc_7,32,18
14-01-1973,7,v11,c9,s2,90183,tw10,15,wp1_4,,wc_10,tl_26,7,lp1_2,,lc_13,22,8
16-01-1972,6,v29,c13,s6,81024,tw4,25,wp1_27,,wc_29,tl_14,3,lp1_3,,lc_11,28,22
17-01-1971,5,v16,c10,s3,79205,tw1,17,wp1_9,wp2_1,wc_9,tl_8,13,lp1_9,,lc_34,30,4
11-01-1970,4,v29,c13,s6,80563,tw8,24,wp1_22,wp2_2,wc_14,tl_15,7,lp1_19,,lc_7,31,17
12-01-1969,3,v16,c10,s3,75390,tw14,17,wp1_17,,wc_32,tl_3,7,lp1_15,lp2_3,lc_11,24,10
14-01-1968,2,v16,c10,s3,75547,tw6,34,wp1_2,,wc_31,tl_18,14,lp1_11,,lc_21,48,20
15-01-1967,1,v11,c9,s2,61947,tw6,36,wp1_2,,wc_31,tl_12,10,lp1_25,,lc_14,46,26
